プログラミング	私はプログラミングしています|私はプログラミングが好きです
チョコ	私はチョコが好きです
人狼	人狼なんているわけないじゃん|人狼なんて本当にいるのかなぁ
わけ	人狼なんているわけないじゃん
みんな	みんな大げさだなあ
用意	こいつでも用意しておくか
ぶ	だいじょーぶです
人	怖い人でも怖い人なりにできることが絶対あるのです|人こないのです
こと	怖い人でも怖い人なりにできることが絶対あるのです|そういえば今日開始だと私は1時すぎぐらいに顔出すことになるとおもうのです、と先に伝えておくことにするのですよ～
絶対	怖い人でも怖い人なりにできることが絶対あるのです
本当	あ、本当なのです|人狼なんて本当にいるのかなぁ
ごめん	ごめんなさいなのです
写真	写真は昔のものなのです
昔	写真は昔のものなのです
もの	写真は昔のものなのです
延長戦	延長戦突入、滑り込みは無しか
突入	延長戦突入、滑り込みは無しか
滑り込み	延長戦突入、滑り込みは無しか
無し	延長戦突入、滑り込みは無しか
フルメンバー	まあ、せっかくならフルメンバーで始まった方が俺的には嬉しいしな
方	まあ、せっかくならフルメンバーで始まった方が俺的には嬉しいしな
席	さて、俺は一旦席をはずす
明日	また明日、皆が集まっていると嬉しい
皆	また明日、皆が集まっていると嬉しい|でも皆の希望と誤差範囲だね|皆で食べてくれ
議題	議題に答えておくよ
他	でもその他の時間帯もちょこちょこと顔出せると思う
時間帯	でもその他の時間帯もちょこちょこと顔出せると思う
顔	でもその他の時間帯もちょこちょこと顔出せると思う|そういえば今日開始だと私は1時すぎぐらいに顔出すことになるとおもうのです、と先に伝えておくことにするのですよ～
希望	でも皆の希望と誤差範囲だね
誤差	でも皆の希望と誤差範囲だね
範囲	でも皆の希望と誤差範囲だね
通りすがり	通りすがりは慎ましく、ね
探しもの	ちょっと探しものがあってね
村	この村にあるか、調べたくて立ち寄らせてもらった訳だ
訳	この村にあるか、調べたくて立ち寄らせてもらった訳だ
時間	時間があるときに参加する
とき	時間があるときに参加する
参加	時間があるときに参加する
フルメンツ	フルメンツになりましたねみなさんこんばんわなのです
みな	フルメンツになりましたねみなさんこんばんわなのです
今日	そういえば今日開始だと私は1時すぎぐらいに顔出すことになるとおもうのです、と先に伝えておくことにするのですよ～
開始	そういえば今日開始だと私は1時すぎぐらいに顔出すことになるとおもうのです、と先に伝えておくことにするのですよ～
時	そういえば今日開始だと私は1時すぎぐらいに顔出すことになるとおもうのです、と先に伝えておくことにするのですよ～
先	そういえば今日開始だと私は1時すぎぐらいに顔出すことになるとおもうのです、と先に伝えておくことにするのですよ～
フランスパン	フランスパン、頂こう|シチューはフランスパンに合ういい料理ですね
ベーグル	僕ベーグル苦手なんだ
苦手	僕ベーグル苦手なんだ
シチュー	シチューはフランスパンに合ういい料理ですね
料理	シチューはフランスパンに合ういい料理ですね
夜明け	そろそろ夜明けですね、楽しみです
楽しみ	そろそろ夜明けですね、楽しみです
母	僕の母さんは今も元気に生きてるよ
今	僕の母さんは今も元気に生きてるよ
元気	僕の母さんは今も元気に生きてるよ
父	まぁ父さんはいないけどね
詮索	まぁ詮索はよしてくれよ
こんにちは	こんにちは
おはよう	おはよう
